ts,asset,funding_received,premium_gain,cost,net,cluster
2025-04-23,1000RATSUSDT,0.004376430000000001,0.0005575800000000002,0.02,-0.01506599,2025-04
2025-08-08,1000RATSUSDT,0.009910780000000001,0.00106098,0.02,-0.00902824,2025-08
2025-08-13,1000RATSUSDT,0.00243732,-2.578e-05,0.02,-0.01758846,2025-08
2025-08-30,1000RATSUSDT,0.00458722,0.00303035,0.02,-0.01238243,2025-08
2025-09-13,1000RATSUSDT,0.003962779999999999,0.00056343,0.02,-0.015473790000000001,2025-09
2025-10-31,1000RATSUSDT,0.005560819999999999,0.0,0.02,-0.014439180000000001,2025-10
2025-11-08,1000RATSUSDT,0.00809163,0.00095268,0.02,-0.01095569,2025-11
2025-11-14,1000RATSUSDT,0.01400112,-0.00090104,0.02,-0.00689992,2025-11
2025-11-23,1000RATSUSDT,0.01260313,0.006928119999999999,0.02,-0.0004687500000000004,2025-11
2025-12-03,1000RATSUSDT,0.00446312,0.00234747,0.02,-0.01318941,2025-12
2026-02-04,1000RATSUSDT,0.01320287,0.00071062,0.02,-0.00608651,2026-02
2024-02-28,1000SATSUSDT,0.01782282,-0.00022997000000000002,0.008,0.00959285,2024-02
2024-03-04,1000SATSUSDT,0.013455520000000002,-0.0003701099999999999,0.008,0.005085410000000002,2024-03
2024-11-10,1000SATSUSDT,0.00408944,0.0001376499999999999,0.008,-0.003772910000000001,2024-11
2024-11-19,1000SATSUSDT,0.0033875600000000004,-0.0004362,0.008,-0.00504864,2024-11
2024-11-30,1000SATSUSDT,0.00629036,1.3849999999999984e-05,0.008,-0.00169579,2024-11
2021-09-04,1000SHIBUSDT,-0.0014564499999999998,-0.0004245,0.008,-0.00988095,2021-09
2023-01-14,1000SHIBUSDT,0.00302171,0.00184494,0.012,-0.00713335,2023-01
2023-01-21,1000SHIBUSDT,0.00243545,-0.00029985,0.008,-0.0058644000000000005,2023-01
2023-02-02,1000SHIBUSDT,0.00308851,0.00128784,0.008,-0.00362365,2023-02
2023-11-02,1000SHIBUSDT,0.0037671600000000003,0.00045043,0.012,-0.00778241,2023-11
2021-02-05,1INCHUSDT,0.041062839999999996,-0.00290476,0.012,0.026158079999999997,2021-02
2021-02-10,1INCHUSDT,0.04940011,0.00290476,0.008,0.044304869999999996,2021-02
2021-09-02,1INCHUSDT,0.01138464,-0.00105646,0.012,-0.001671820000000001,2021-09
2024-12-04,1MBABYDOGEUSDT,0.00714157,-0.00018134,0.012,-0.005039770000000001,2024-12
2025-11-26,42USDT,0.00859044,0.00215797,0.02,-0.00925159,2025-11
2026-01-27,4USDT,0.00350804,0.0,0.02,-0.01649196,2026-01
2026-04-07,4USDT,0.00400329,0.0,0.02,-0.01599671,2026-04
2026-05-04,4USDT,0.0066380599999999994,0.00219559,0.02,-0.011166350000000002,2026-05
2026-09-05,4USDT,0.00530651,0.00139983,0.02,-0.01329366,2026-09
2020-11-24,AAVEUSDT,0.00786174,-0.00061513,0.012,-0.00475339,2020-11
2023-11-02,ACHUSDT,0.00330593,0.00108182,0.02,-0.015612250000000001,2023-11
2021-10-21,ADAUSDT,0.00781696,-0.0006257200000000001,0.008,-0.0008087600000000004,2021-10
2025-09-18,AEROUSDT,0.00363595,0.00115502,0.012,-0.00720903,2025-09
2024-11-16,AEVOUSDT,0.00321005,0.00096527,0.02,-0.01582468,2024-11
2023-04-16,AGIXUSDT,0.0029358399999999995,0.0015223699999999999,0.008,-0.0035417900000000013,2023-04
2025-07-16,AGTUSDT,0.03341816,-0.00359792,0.02,0.009820240000000001,2025-07
2025-07-21,AGTUSDT,0.02826252,0.00359792,0.02,0.011860439999999996,2025-07
2025-05-11,AI16ZUSDT,0.00218898,0.00034741000000000004,0.012,-0.00946361,2025-05
2025-07-17,AI16ZUSDT,0.0033474999999999998,0.0004318899999999999,0.012,-0.00822061,2025-07
2025-07-22,AI16ZUSDT,-5.353999999999998e-05,0.00146454,0.012,-0.010589,2025-07
2026-04-24,AIAUSDT,0.00138872,-0.00017953999999999995,0.02,-0.01879082,2026-04
2026-05-10,AIAUSDT,0.0060529600000000005,0.00116795,0.02,-0.01277909,2026-05
2025-10-04,AINUSDT,0.00613437,0.00068048,0.02,-0.01318515,2025-10
2025-10-14,AINUSDT,0.0044310700000000005,-0.0013347899999999998,0.02,-0.01690372,2025-10
2025-05-30,AIOTUSDT,-0.0026448,-0.00051427,0.012,-0.01515907,2025-05
2025-09-12,AIOUSDT,0.019178179999999996,0.00117933,0.02,0.0003575099999999949,2025-09
2025-10-02,AIOUSDT,0.01537903,0.00354724,0.02,-0.0010737299999999984,2025-10
2024-02-11,AIUSDT,0.00835214,0.0009373700000000001,0.012,-0.002710490000000001,2024-02
2024-02-16,AIUSDT,0.007063,-0.00010041999999999999,0.012,-0.005037420000000001,2024-02
2025-02-25,ALCHUSDT,0.00713816,0.00044938000000000004,0.012,-0.00441246,2025-02
2025-04-17,ALCHUSDT,0.00463014,-0.00093499,0.008,-0.004304850000000001,2025-04
2025-04-23,ALCHUSDT,0.0061169,0.00038426,0.008,-0.0014988400000000004,2025-04
2025-05-13,ALCHUSDT,0.00464238,0.0008463,0.012,-0.00651132,2025-05
2025-07-11,ALCHUSDT,0.0037427300000000005,-0.00072469,0.02,-0.01698196,2025-07
2025-09-13,ALCHUSDT,0.00267819,0.00023545999999999994,0.02,-0.01708635,2025-09
2025-10-11,ALCHUSDT,0.0030462500000000003,7.246e-05,0.02,-0.01688129,2025-10
2025-10-25,ALCHUSDT,0.009503239999999998,0.00106523,0.02,-0.009431530000000002,2025-10
2025-11-30,ALCHUSDT,0.0035458399999999998,-4.847e-05,0.02,-0.01650263,2025-11
2021-08-16,ALICEUSDT,0.00420313,-0.00011952,0.008,-0.00391639,2021-08
2021-08-22,ALICEUSDT,0.0058464499999999996,-0.0010471,0.008,-0.003200650000000001,2021-08
2021-09-02,ALICEUSDT,0.003950260000000001,-0.00021762000000000018,0.008,-0.0042673599999999996,2021-09
2024-11-18,ALPACAUSDT,0.00321788,-0.00138695,0.02,-0.018169070000000002,2024-11
2021-01-08,ALPHAUSDT,0.00870134,0.0,0.02,-0.01129866,2021-01
2021-01-29,ALPHAUSDT,0.031750650000000005,-0.0020920100000000005,0.012,0.017658640000000003,2021-01
2021-02-03,ALPHAUSDT,0.034411819999999996,0.0017970600000000005,0.012,0.02420888,2021-02
2021-02-09,ALPHAUSDT,0.057910489999999995,0.00289073,0.012,0.04880121999999999,2021-02
2021-02-14,ALPHAUSDT,0.02587935,-0.00276774,0.008,0.015111609999999998,2021-02
2021-02-20,ALPHAUSDT,0.00550443,-0.00231452,0.008,-0.0048100899999999995,2021-02
2023-04-16,ALPHAUSDT,0.00257509,0.0013479999999999998,0.02,-0.01607691,2023-04
2025-07-11,ALPHAUSDT,0.00167963,0.00014735000000000003,0.02,-0.01817302,2025-07
2025-07-18,ALPHAUSDT,0.00547589,-0.00086393,0.02,-0.01538804,2025-07
2024-02-18,AMBUSDT,0.00586517,0.00014419999999999998,0.02,-0.01399063,2024-02
2024-11-23,AMBUSDT,0.00299756,0.0,0.02,-0.01700244,2024-11
2023-11-29,ANKRUSDT,0.0018058100000000001,-0.00013241,0.02,-0.0183266,2023-11
2026-04-12,APRUSDT,0.01393647,-0.00124026,0.02,-0.007303790000000001,2026-04
