date,open,high,low,close,volume,return,cum_return
2020-09-24,10241.46,10795.24,10190.93,10736.32,57676.619427,0.04831928260228535,-0.4379672778555458
2020-09-25,10736.33,10760.53,10556.24,10686.67,48101.117008,-0.004624489583022862,-0.44056639232442085
2020-09-26,10686.57,10820.94,10644.68,10728.6,28420.836659,0.003923579562202351,-0.43837141005493585
2020-09-27,10728.59,10799.0,10594.82,10774.25,30549.483253,0.004254982010700292,-0.4359816905080246
2020-09-28,10774.26,10950.0,10626.0,10696.12,50095.251734,-0.007251548831705201,-0.44007169682128144
2020-09-29,10696.11,10867.54,10635.87,10840.48,41874.898399,0.013496482836766965,-0.4325146340876098
2020-09-30,10840.58,10849.34,10665.13,10776.59,39596.027322,-0.005893650465662037,-0.4358591944786757
2020-10-01,10776.59,10920.0,10437.0,10619.13,60866.332893,-0.01461130097739649,-0.4441020255817787
2020-10-02,10619.13,10664.64,10374.0,10570.4,50130.393705,-0.004588888166921379,-0.44665297921860203
2020-10-03,10570.4,10603.56,10496.46,10542.06,22298.221341,-0.0026810716718383976,-0.4481365422407152
2020-10-04,10542.07,10696.87,10517.87,10666.63,23212.001595,0.011816476096702111,-0.44161546088345927
2020-10-05,10666.62,10798.0,10615.64,10792.21,34025.761653,0.011773165470256197,-0.4350415073084075
2020-10-06,10792.2,10800.0,10525.0,10599.66,48674.740471,-0.0178415727640584,-0.44512125536443736
2020-10-07,10599.65,10681.87,10546.17,10666.39,32811.990279,0.006295484949517149,-0.44162802457877726
2020-10-08,10666.4,10950.0,10530.41,10925.57,51959.691572,0.024298755248964188,-0.42806028061013635
2020-10-09,10925.44,11104.64,10829.0,11050.64,48240.073237,0.011447457661247773,-0.421513024887635
2020-10-10,11050.64,11491.0,11050.51,11293.22,43648.036943,0.021951669767542814,-0.4088142698451436
2020-10-11,11293.22,11445.0,11221.0,11369.02,29043.851339,0.006711991796848116,-0.40484623607393055
2020-10-12,11369.02,11720.01,11172.0,11528.25,52825.28371,0.014005604704715013,-0.39651074771785877
2020-10-13,11528.24,11557.0,11300.0,11420.56,42205.283709,-0.009341400472751782,-0.40214818250442774
2020-10-14,11420.57,11547.98,11280.0,11417.89,41415.106015,-0.00023378888600911196,-0.4022879536148386
2020-10-15,11417.89,11617.34,11250.83,11505.12,48760.717679,0.007639765315658353,-0.3977215738541141
2020-10-16,11505.13,11541.15,11200.0,11319.32,48797.749502,-0.01614933177576605,-0.40744796797933025
2020-10-17,11319.24,11402.42,11255.0,11360.2,22368.915241,0.003611524367188146,-0.40530795187686075
2020-10-18,11360.31,11505.0,11346.22,11503.14,23284.041191,0.012582524955546459,-0.3978252243404863
2020-10-19,11503.14,11823.99,11407.96,11751.47,47414.534692,0.021588018575797507,-0.38482546409767204
2020-10-20,11751.46,12038.38,11677.59,11909.99,62134.750663,0.013489376222719507,-0.3765271433402487
2020-10-21,11910.0,13217.68,11886.95,12780.96,114584.456767,0.07312936450828245,-0.33093296954455764
2020-10-22,12780.75,13185.0,12678.08,12968.52,70038.824144,0.014674953994066264,-0.32111444165367753
2020-10-23,12968.84,13027.69,12720.08,12923.07,50386.999841,-0.003504640467840603,-0.3234936914544906
2020-10-24,12923.06,13166.73,12870.0,13111.73,35952.20907,0.01459869829692173,-0.31361757996007045
2020-10-25,13111.73,13350.0,12888.0,13028.83,38481.579504,-0.006322582908586449,-0.31795728971776915
2020-10-26,13029.64,13238.81,12765.0,13052.19,60951.672986,0.0017929468724360298,-0.3167344233735009
2020-10-27,13052.15,13789.29,13019.87,13636.17,80811.01945,0.04474191687371998,-0.2861638117414037
2020-10-28,13636.16,13859.48,12888.0,13266.4,94440.561226,-0.027116851725961233,-0.3055208018150374
