symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
WSTUSR,resolv-wstusr,BINANCE,resolv-wstusr,,False,False
DCR,decred,BINANCE,decred,,False,False
BAT,basic-attention-token,BINANCE,basic-attention-token,,False,False
DOGE,binance-peg-dogecoin,BINANCE,binance-peg-dogecoin,,False,False
BEAT,audiera,BINANCE,audiera,,False,False
EETH,ether-fi-staked-eth,BINANCE,ether-fi-staked-eth,,False,False
SAVAX,benqi-liquid-staked-avax,BINANCE,benqi-liquid-staked-avax,,False,False
BUSD,binance-peg-busd,BINANCE,binance-peg-busd,,False,False
WIF,dogwifcoin,BINANCE,dogwifcoin,,False,False
H,humanity,BINANCE,humanity,,False,False
SAND,the-sandbox,BINANCE,the-sandbox,,False,False
WEETH,arbitrum-bridged-wrapped-eeth,BINANCE,arbitrum-bridged-wrapped-eeth,,False,False
S,sonic-3,BINANCE,sonic-3,,False,False
JASMY,jasmycoin,BINANCE,jasmycoin,,False,False
UBTC,unit-bitcoin,BINANCE,unit-bitcoin,,False,False
KAG,kinesis-silver,BINANCE,kinesis-silver,,False,False
FRXETH,frax-ether,BINANCE,frax-ether,,False,False
VSN,vision-3,BINANCE,vision-3,,False,False
CMETH,mantle-restaked-eth,BINANCE,mantle-restaked-eth,,False,False
WHYPE,wrapped-hype,BINANCE,wrapped-hype,,False,False
HNT,helium,BINANCE,helium,,False,False
THETA,theta-token,BINANCE,theta-token,,False,False
WETH,polygon-pos-bridged-weth-polygon-pos,BINANCE,polygon-pos-bridged-weth-polygon-pos,,False,False
GTBTC,gate-wrapped-btc,BINANCE,gate-wrapped-btc,,False,False
FDIT,fidelity-digital-interest-token,BINANCE,fidelity-digital-interest-token,,False,False
JTRSY,janus-henderson-anemoy-treasury-fund,BINANCE,janus-henderson-anemoy-treasury-fund,,False,False
WSTX,wrapped-stx-velar,BINANCE,wrapped-stx-velar,,False,False
ASBNB,astherus-staked-bnb,BINANCE,astherus-staked-bnb,,False,False
ZRO,layerzero,BINANCE,layerzero,,False,False
ZK,zksync,BINANCE,zksync,,False,False
A,vaulta,BINANCE,vaulta,,False,False
BBTC,binance-wrapped-btc,BINANCE,binance-wrapped-btc,,False,False
BORG,swissborg,BINANCE,swissborg,,False,False
MWC,mimblewimblecoin,BINANCE,mimblewimblecoin,,False,False
COMP,compound-governance-token,BINANCE,compound-governance-token,,False,False
RAY,raydium,BINANCE,raydium,,False,False
WETH,wrapped-ether-mantle-bridge,BINANCE,wrapped-ether-mantle-bridge,,False,False
UDS,undeads-games,BINANCE,undeads-games,,False,False
MON,monad,BINANCE,monad,,False,False
BTSE,btse-token,BINANCE,btse-token,,False,False
ZBCN,zebec-network,BINANCE,zebec-network,,False,False
STABLE,stable-2,BINANCE,stable-2,,False,False
MANA,decentraland,BINANCE,decentraland,,False,False
AR,arweave,BINANCE,arweave,,False,False
WSTETH,arbitrum-bridged-wsteth-arbitrum,BINANCE,arbitrum-bridged-wsteth-arbitrum,,False,False
APEPE,ape-and-pepe,BINANCE,ape-and-pepe,,False,False
0G,zero-gravity,BINANCE,zero-gravity,,False,False
USDC.N,ibc-bridged-usdc,BINANCE,ibc-bridged-usdc,,False,False
REAL,reallink,BINANCE,reallink,,False,False
