feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
ret_z20,0.5-1,12,0.9166666666666666,0.010961816276065033,0.10746768276952623,0.00109269135559909,-0.026991706678425494,0.025121599104837154,0.9074401533029781,0.12057997903671536,0.10746768276952623,0.0014530540690506156,-0.07150212584613094,-0.10746768276952623,0.08756262475379706,ETH,LL3_k0.30,M1_1close
ret_z20,1-1.5,7,1.0,-0.02196291589880441,,,-0.05008964280995899,-9.677431852062393e-07,,-0.15374041129163085,-0.0,-0.032515162260722735,-0.08549612009094597,-0.09844007241036412,0.0,ETH,LL3_k0.30,M1_1close
ret_z20,1.5-2,5,1.0,-0.03716616403157604,,,-0.08371386705856013,-0.0010083734130437172,,-0.18583082015788022,-0.0,-0.021810638516280765,-0.10749190527857402,-0.11889019110006949,0.0,ETH,LL3_k0.30,M1_1close
ret_z20,2-2.5,2,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
ret_z20,2.5-3,2,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
ret_z20,>3,2,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,<0.5,74,0.972972972972973,-0.00618233648893234,0.1359537241858808,-0.009689671291552562,-0.02067077182253288,0.00030612379055362164,1.047640212520265,-0.4451282272031285,0.2719074483717616,-0.07461460983012211,-0.10159973603607085,-0.1644397656022354,0.08843363673166715,ETH,LL3_k0.30,M1_1close
brk_vol,0.5-1,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,1-1.5,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,1.5-2,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,2-2.5,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,2.5-3,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
brk_vol,>3,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
range_breakout_20,<0.5,65,0.9692307692307692,-0.005439382744577409,0.1359537241858808,-0.009455208635079052,-0.021957978744504284,0.00215094200034085,1.0416765137417767,-0.3426811129083768,0.2719074483717616,-0.06395398062893748,-0.10566216069769381,-0.1644397656022354,0.08843363673166715,ETH,LL3_k0.30,M1_1close
range_breakout_20,0.5-1,6,1.0,-0.010055905290698145,,,-0.028487093517021573,0.0,,-0.06033543174418887,-0.0,-0.009054033050355376,-0.04273064027553236,-0.055293564678970286,0.0,ETH,LL3_k0.30,M1_1close
range_breakout_20,1-1.5,2,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
range_breakout_20,1.5-2,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
range_breakout_20,2-2.5,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
range_breakout_20,2.5-3,0,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
range_breakout_20,>3,1,,,,,,,,,,,,,,ETH,LL3_k0.30,M1_1close
trend_agree_count,0-2,4,1.0,-0.0019020051351476,,,,,,-0.0076080205405904,-0.0,-0.0020956481918933964,-0.017218100909620882,-0.018737044635897426,0.02662388256638637,ETH,LL3_k0.30,M1_1close
trend_agree_count,3-4,18,1.0,-0.020212907915008398,,,-0.04879659975104933,0.00554730430481036,,-0.36383234247015117,-0.0,-0.03816477974934598,-0.12452491361546458,-0.15645500786937017,0.08756262475379706,ETH,LL3_k0.30,M1_1close
trend_agree_count,5-6,33,0.9393939393939394,-0.0003497532822463617,0.1359537241858808,-0.008568175761254503,-0.02547322115033822,0.006426375505815961,1.002579225961568,-0.010842351749637213,0.2719074483717616,-0.02954072210936525,-0.07385886082329707,-0.1644397656022354,0.05530383538184802,ETH,LL3_k0.30,M1_1close
trend_agree_count,7-8,19,1.0,-0.003307658549618406,,,-0.0159121995199744,0.00955868764139272,,-0.06284551244274972,-0.0,-0.00714420274500913,-0.043397541449460175,-0.055293564678970286,0.08843363673166715,ETH,LL3_k0.30,M1_1close
